"country","Region"
"Somalia","Middle East and North Africa"
"South Africa","Eastern and southern Africa"
"South Sudan","Eastern and southern Africa"
"Spain","Western and central Europe and North America"
"Sri Lanka","Asia and the Pacific"
"Sudan","Middle East and North Africa"
"Suriname","Caribbean"
"Swaziland","Eastern and southern Africa"
"Sweden","Western and central Europe and North America"
"Switzerland","Western and central Europe and North America"
"Syrian Arab Republic","Middle East and North Africa"
"São Tomé and Príncipe","Western and central Africa"
"TFYR Macedonia","Eastern Europe and central Asia"
"Tajikistan","Eastern Europe and central Asia"
"Thailand","Asia and the Pacific"
"Timor-Leste","Asia and the Pacific"
"Togo","Western and central Africa"
"Trinidad and Tobago","Caribbean"
"Tunisia","Middle East and North Africa"
"Turkey","Western and central Europe and North America"
"Turkmenistan","Eastern Europe and central Asia"
"Uganda","Eastern and southern Africa"
"Ukraine","Eastern Europe and central Asia"
"United Arab Emirates","Middle East and North Africa"
"United Kingdom","Western and central Europe and North America"
"United Republic of Tanzania","Eastern and southern Africa"
"United States of America","Western and central Europe and North America"
"Uruguay","Latin America"
"Uzbekistan","Eastern Europe and central Asia"
"Venezuela","Latin America"
"Viet Nam","Asia and the Pacific"
"Yemen","Middle East and North Africa"
"Zambia","Eastern and southern Africa"
"Zimbabwe","Eastern and southern Africa"
