"draw","variable","value"
292,"(Intercept)",-4.57389724337554
293,"(Intercept)",-4.13996058885873
294,"(Intercept)",-4.24204996739375
295,"(Intercept)",-4.16861830080857
296,"(Intercept)",-4.35988943786161
297,"(Intercept)",-4.54431299915654
298,"(Intercept)",-4.39563183394356
299,"(Intercept)",-4.21626209849656
300,"(Intercept)",-4.12390997380699
301,"(Intercept)",-4.41712893674329
302,"(Intercept)",-4.36771316410172
303,"(Intercept)",-4.18960113517937
304,"(Intercept)",-4.39121482136891
305,"(Intercept)",-3.95658735359786
306,"(Intercept)",-4.37902488471695
307,"(Intercept)",-4.27331464062056
308,"(Intercept)",-4.27570292907902
309,"(Intercept)",-4.38554522346996
310,"(Intercept)",-4.20578341903505
311,"(Intercept)",-4.32901088781048
312,"(Intercept)",-4.38729786246851
313,"(Intercept)",-4.54296362806451
314,"(Intercept)",-4.277938069807
315,"(Intercept)",-4.20612666997319
316,"(Intercept)",-4.06423129883597
317,"(Intercept)",-4.32558107633004
318,"(Intercept)",-4.39099361113327
319,"(Intercept)",-4.26485075963042
320,"(Intercept)",-4.35090593504468
321,"(Intercept)",-4.42665667847903
322,"(Intercept)",-4.30835642487102
323,"(Intercept)",-4.15883419129884
324,"(Intercept)",-4.04973865108044
325,"(Intercept)",-4.44425592654135
326,"(Intercept)",-4.30709661494886
327,"(Intercept)",-4.60112680067433
328,"(Intercept)",-4.34542310259791
329,"(Intercept)",-4.16389505187994
330,"(Intercept)",-4.21055630347991
331,"(Intercept)",-4.1639789245866
332,"(Intercept)",-4.45320738443755
333,"(Intercept)",-4.21555338481789
334,"(Intercept)",-4.28169405765155
335,"(Intercept)",-4.25168804372845
336,"(Intercept)",-4.31370767465636
337,"(Intercept)",-4.48094855429328
338,"(Intercept)",-4.14189805720464
339,"(Intercept)",-4.28545125076073
340,"(Intercept)",-4.39570486083788
341,"(Intercept)",-4.25576224203727
342,"(Intercept)",-4.33856530830028
343,"(Intercept)",-4.45808419124463
344,"(Intercept)",-4.21136841043517
345,"(Intercept)",-3.90914088542194
346,"(Intercept)",-4.23956800477701
347,"(Intercept)",-4.31004938045907
348,"(Intercept)",-4.27237127950628
349,"(Intercept)",-4.35167924329707
350,"(Intercept)",-4.12908888807637
351,"(Intercept)",-4.4290408277693
352,"(Intercept)",-4.15262073854863
353,"(Intercept)",-4.63074661844048
354,"(Intercept)",-4.26021191134249
355,"(Intercept)",-4.22980687731108
356,"(Intercept)",-4.23238257251954
357,"(Intercept)",-4.20367849337217
358,"(Intercept)",-4.39014473280449
359,"(Intercept)",-4.31083572252593
360,"(Intercept)",-4.48514870642022
361,"(Intercept)",-4.25415528976831
362,"(Intercept)",-4.16384561715593
363,"(Intercept)",-4.26861274730899
364,"(Intercept)",-4.271962470701
365,"(Intercept)",-4.07039122005617
366,"(Intercept)",-4.31891929519398
367,"(Intercept)",-4.3965924362037
368,"(Intercept)",-4.28143193124619
369,"(Intercept)",-4.28431101021271
370,"(Intercept)",-4.30362717733489
371,"(Intercept)",-4.34322407935587
372,"(Intercept)",-4.47320636112551
373,"(Intercept)",-4.25863962361555
374,"(Intercept)",-4.54240221961641
375,"(Intercept)",-4.15252542597324
376,"(Intercept)",-4.40617800587219
377,"(Intercept)",-4.04731259103576
378,"(Intercept)",-4.48567034904172
379,"(Intercept)",-4.13499935789434
380,"(Intercept)",-4.41367076931127
381,"(Intercept)",-4.26661944719623
382,"(Intercept)",-4.42803835025857
383,"(Intercept)",-4.30952156366287
384,"(Intercept)",-4.32796453396491
385,"(Intercept)",-4.25683754156459
386,"(Intercept)",-4.21820440376024
387,"(Intercept)",-4.25962833000152
388,"(Intercept)",-4.22140419431819
389,"(Intercept)",-4.32465596050219
390,"(Intercept)",-4.28082921493973
391,"(Intercept)",-4.12914250217772
392,"(Intercept)",-4.38203661050255
393,"(Intercept)",-4.11756481234342
394,"(Intercept)",-4.19700342111284
395,"(Intercept)",-4.35471440413967
396,"(Intercept)",-4.17751584458541
397,"(Intercept)",-4.27431986808778
398,"(Intercept)",-4.20358934644201
399,"(Intercept)",-4.09932815925044
400,"(Intercept)",-4.29625969198985
401,"(Intercept)",-4.34018569594625
402,"(Intercept)",-4.21857305005393
403,"(Intercept)",-4.42774177701892
404,"(Intercept)",-4.15946915383441
405,"(Intercept)",-4.43893986657321
406,"(Intercept)",-4.19402927939705
407,"(Intercept)",-4.45048983506117
408,"(Intercept)",-4.40152837979028
409,"(Intercept)",-4.31609088059184
410,"(Intercept)",-4.14428470913147
411,"(Intercept)",-4.20369342514153
412,"(Intercept)",-4.36361884589752
413,"(Intercept)",-4.27885347273841
414,"(Intercept)",-4.23639657964729
415,"(Intercept)",-4.50997855997028
416,"(Intercept)",-4.22090594464188
417,"(Intercept)",-4.1661743612686
418,"(Intercept)",-4.33633582728749
419,"(Intercept)",-4.32970918436083
420,"(Intercept)",-4.29827335978355
421,"(Intercept)",-4.17684855957715
422,"(Intercept)",-4.10303223741679
423,"(Intercept)",-4.59633380790109
424,"(Intercept)",-4.17582265324902
425,"(Intercept)",-4.2800751392996
426,"(Intercept)",-4.53397484108811
427,"(Intercept)",-4.33088605798681
428,"(Intercept)",-4.39383490299391
429,"(Intercept)",-4.22452550606612
430,"(Intercept)",-4.04173727785117
431,"(Intercept)",-4.24246211029496
432,"(Intercept)",-4.33181734157291
433,"(Intercept)",-4.16873662633862
434,"(Intercept)",-4.26629056435167
435,"(Intercept)",-4.39162165762692
436,"(Intercept)",-4.17431525269805
437,"(Intercept)",-3.97956365399475
438,"(Intercept)",-4.19616819186286
439,"(Intercept)",-4.08332006111345
440,"(Intercept)",-4.19408718740644
441,"(Intercept)",-4.10846246315764
442,"(Intercept)",-4.32598631341077
443,"(Intercept)",-4.36766662939753
444,"(Intercept)",-4.03894556183877
445,"(Intercept)",-4.41609062708093
446,"(Intercept)",-4.24357714239121
447,"(Intercept)",-4.05170621869097
448,"(Intercept)",-4.45706230839998
449,"(Intercept)",-4.50925240631625
450,"(Intercept)",-4.5391231341958
451,"(Intercept)",-4.19221053443355
452,"(Intercept)",-4.24173440469225
453,"(Intercept)",-4.19241690042488
454,"(Intercept)",-4.49191321952603
455,"(Intercept)",-4.15769132467767
456,"(Intercept)",-4.3025255361693
457,"(Intercept)",-4.23528802946267
458,"(Intercept)",-4.19101492050633
459,"(Intercept)",-4.04353612360255
460,"(Intercept)",-4.16881978623672
461,"(Intercept)",-4.20767594086331
462,"(Intercept)",-4.28848680010298
463,"(Intercept)",-4.20950455743136
464,"(Intercept)",-4.13609495486789
465,"(Intercept)",-4.08297181977802
466,"(Intercept)",-4.17201017329564
467,"(Intercept)",-4.36658070079777
468,"(Intercept)",-4.53553444843389
469,"(Intercept)",-4.2616715589762
470,"(Intercept)",-4.45101125518358
471,"(Intercept)",-4.35667994130746
472,"(Intercept)",-4.28118201713892
473,"(Intercept)",-4.463661133367
474,"(Intercept)",-4.28305521682783
475,"(Intercept)",-4.00953388350096
476,"(Intercept)",-4.23243415943508
477,"(Intercept)",-4.20086649931642
478,"(Intercept)",-4.33075103814065
479,"(Intercept)",-4.10352169777666
480,"(Intercept)",-4.20864119269448
481,"(Intercept)",-4.24511759060376
482,"(Intercept)",-4.2136583763532
483,"(Intercept)",-4.39040057935444
484,"(Intercept)",-4.35655867142482
485,"(Intercept)",-4.28706737192798
486,"(Intercept)",-4.10533275344402
487,"(Intercept)",-4.26603098986555
488,"(Intercept)",-4.27069227540179
489,"(Intercept)",-4.41137077571959
490,"(Intercept)",-4.28608897935958
491,"(Intercept)",-4.32627667441891
492,"(Intercept)",-4.39742501696322
493,"(Intercept)",-4.23499497501819
494,"(Intercept)",-4.37699837877826
495,"(Intercept)",-4.41069013481246
496,"(Intercept)",-4.22804944245797
497,"(Intercept)",-4.27605856313864
498,"(Intercept)",-4.65245755978327
499,"(Intercept)",-4.28942553973121
500,"(Intercept)",-4.19769850207305
501,"(Intercept)",-4.40673837184027
502,"(Intercept)",-4.21527572172933
503,"(Intercept)",-4.36280076429129
504,"(Intercept)",-4.39990945289039
505,"(Intercept)",-4.40719425775817
506,"(Intercept)",-4.19471407065958
507,"(Intercept)",-4.2999747904192
508,"(Intercept)",-4.36393268703419
509,"(Intercept)",-4.39255797188453
510,"(Intercept)",-4.35211017901858
511,"(Intercept)",-4.47023399388506
512,"(Intercept)",-4.0232882872428
513,"(Intercept)",-4.15192259552598
514,"(Intercept)",-4.33594804795279
515,"(Intercept)",-4.26017768028386
516,"(Intercept)",-4.4994729750655
517,"(Intercept)",-4.28467180061495
518,"(Intercept)",-4.22607441628243
519,"(Intercept)",-4.31686258937274
520,"(Intercept)",-4.5822889504341
521,"(Intercept)",-4.2830136038637
522,"(Intercept)",-4.17651194141782
523,"(Intercept)",-4.1135685397915
524,"(Intercept)",-4.34918568621362
525,"(Intercept)",-4.23742611959566
526,"(Intercept)",-4.25920181572527
527,"(Intercept)",-4.5429183027163
528,"(Intercept)",-4.42784165565121
529,"(Intercept)",-4.12351061274429
530,"(Intercept)",-4.21369908906703
531,"(Intercept)",-4.2088965879986
532,"(Intercept)",-4.1425292599914
533,"(Intercept)",-4.32424042358145
534,"(Intercept)",-4.44575918824
535,"(Intercept)",-4.23868959138099
536,"(Intercept)",-4.47382747866848
537,"(Intercept)",-4.16485649847951
538,"(Intercept)",-4.09964300330314
539,"(Intercept)",-4.3669347156642
540,"(Intercept)",-4.44138916958577
541,"(Intercept)",-4.11365563837227
542,"(Intercept)",-4.4062532548743
543,"(Intercept)",-4.44544892633611
544,"(Intercept)",-4.2813388353764
545,"(Intercept)",-4.31892501606174
546,"(Intercept)",-4.35802367827543
547,"(Intercept)",-4.20448043643115
548,"(Intercept)",-4.38480228597393
549,"(Intercept)",-4.18569614601156
550,"(Intercept)",-4.34058699794119
551,"(Intercept)",-4.44444415273052
552,"(Intercept)",-4.22550386289866
553,"(Intercept)",-4.40411458269322
554,"(Intercept)",-4.23766533808796
555,"(Intercept)",-4.42422601470798
556,"(Intercept)",-4.09069037280067
557,"(Intercept)",-4.36305368586675
558,"(Intercept)",-4.34612877480853
559,"(Intercept)",-4.2155262320875
560,"(Intercept)",-4.17286047273637
561,"(Intercept)",-4.4328011038393
562,"(Intercept)",-4.14508856380319
563,"(Intercept)",-4.09336612017639
564,"(Intercept)",-4.00698815296645
565,"(Intercept)",-4.14153079720788
566,"(Intercept)",-4.10613511758589
567,"(Intercept)",-4.15332917210229
568,"(Intercept)",-4.35006685531661
569,"(Intercept)",-4.38366129947667
570,"(Intercept)",-4.54223553431755
571,"(Intercept)",-4.24925008654149
572,"(Intercept)",-4.33680118197195
573,"(Intercept)",-4.40126043415772
574,"(Intercept)",-4.29856773745256
575,"(Intercept)",-4.32212985772503
576,"(Intercept)",-4.43184408908309
577,"(Intercept)",-4.33632293480764
578,"(Intercept)",-4.29122923244185
579,"(Intercept)",-4.23780397700729
580,"(Intercept)",-4.31463424948072
581,"(Intercept)",-4.29751248846096
582,"(Intercept)",-4.26505888503808
583,"(Intercept)",-4.31874969291705
584,"(Intercept)",-4.11545423264439
585,"(Intercept)",-4.27784208580074
586,"(Intercept)",-4.46219262019715
587,"(Intercept)",-4.36953538769704
588,"(Intercept)",-4.27277200147988
589,"(Intercept)",-4.49223367125326
590,"(Intercept)",-4.2010222381572
591,"(Intercept)",-4.1672194233541
592,"(Intercept)",-4.24767236759468
593,"(Intercept)",-4.14851822658526
594,"(Intercept)",-4.35127773623206
595,"(Intercept)",-4.22747986368945
596,"(Intercept)",-4.165880311367
597,"(Intercept)",-4.42930995730469
598,"(Intercept)",-4.26098649553717
599,"(Intercept)",-4.36354162160519
600,"(Intercept)",-4.36166638938564
601,"(Intercept)",-4.22821765289839
602,"(Intercept)",-4.35122816145181
603,"(Intercept)",-4.30842083568026
604,"(Intercept)",-4.52486277463726
605,"(Intercept)",-4.43666349960348
606,"(Intercept)",-4.27875059625362
607,"(Intercept)",-4.40823036562279
608,"(Intercept)",-4.39948461316407
609,"(Intercept)",-4.40076255687459
610,"(Intercept)",-4.02346311514103
611,"(Intercept)",-4.51057962473828
612,"(Intercept)",-4.25469756298754
613,"(Intercept)",-4.44783203299843
614,"(Intercept)",-4.23912486587354
615,"(Intercept)",-4.2841588857119
616,"(Intercept)",-4.27073913733396
617,"(Intercept)",-4.23627283923524
618,"(Intercept)",-4.30217127085362
619,"(Intercept)",-4.19010401352291
620,"(Intercept)",-4.31619253027471
621,"(Intercept)",-4.38631615875353
622,"(Intercept)",-4.32211466350769
623,"(Intercept)",-4.10640409781379
624,"(Intercept)",-4.2595949079585
625,"(Intercept)",-4.3445147412702
626,"(Intercept)",-4.3173659035647
627,"(Intercept)",-4.47631079475305
628,"(Intercept)",-4.22071712805377
629,"(Intercept)",-4.05077158223211
630,"(Intercept)",-4.18604969692644
631,"(Intercept)",-4.34188112916997
632,"(Intercept)",-4.44306531946777
633,"(Intercept)",-4.14648047836688
634,"(Intercept)",-4.31692086494527
635,"(Intercept)",-4.31644953715195
636,"(Intercept)",-4.34568799459201
637,"(Intercept)",-4.18854535944339
638,"(Intercept)",-4.09320126455857
639,"(Intercept)",-4.20929478007022
640,"(Intercept)",-4.30348898157296
641,"(Intercept)",-4.19708072653493
642,"(Intercept)",-4.30503132833237
643,"(Intercept)",-4.26998512656186
644,"(Intercept)",-4.17839036893217
645,"(Intercept)",-4.33973221949949
646,"(Intercept)",-4.33429057970665
647,"(Intercept)",-4.38863952286875
648,"(Intercept)",-4.30839234263227
649,"(Intercept)",-4.21104370494639
650,"(Intercept)",-4.1627845825174
651,"(Intercept)",-4.26051948508365
652,"(Intercept)",-4.20831554998641
653,"(Intercept)",-4.23446092176691
654,"(Intercept)",-4.50276434883501
655,"(Intercept)",-4.27221764364201
656,"(Intercept)",-4.31812489521796
657,"(Intercept)",-4.29735632065435
658,"(Intercept)",-4.16671602011655
659,"(Intercept)",-4.35750194763371
660,"(Intercept)",-4.16869743184681
661,"(Intercept)",-4.21154015263776
662,"(Intercept)",-4.14473557968761
663,"(Intercept)",-4.56418172488587
664,"(Intercept)",-3.93218751055159
665,"(Intercept)",-4.44410494271401
666,"(Intercept)",-4.29336347797487
667,"(Intercept)",-4.2823047832525
668,"(Intercept)",-4.10252763082452
669,"(Intercept)",-4.38995960461031
670,"(Intercept)",-4.35136727728263
671,"(Intercept)",-4.51369487308832
672,"(Intercept)",-4.27637966127564
673,"(Intercept)",-4.31034079716412
674,"(Intercept)",-4.37321716959326
675,"(Intercept)",-4.28977649631512
676,"(Intercept)",-4.54427083602737
677,"(Intercept)",-4.05109887495229
678,"(Intercept)",-4.3811982344743
679,"(Intercept)",-4.4009824180638
680,"(Intercept)",-4.30870301754486
681,"(Intercept)",-4.27147911294348
682,"(Intercept)",-4.21722940458872
683,"(Intercept)",-4.31277797013591
684,"(Intercept)",-4.22580653508745
685,"(Intercept)",-4.16894529616408
686,"(Intercept)",-4.3354102571149
687,"(Intercept)",-4.23819081675883
688,"(Intercept)",-4.2046848016755
689,"(Intercept)",-4.37547341415427
690,"(Intercept)",-4.25969351805708
691,"(Intercept)",-4.40792912450799
692,"(Intercept)",-3.94832831997196
693,"(Intercept)",-4.27333868011926
694,"(Intercept)",-4.3044704843
695,"(Intercept)",-4.24874109003722
696,"(Intercept)",-4.1777913639006
697,"(Intercept)",-4.33080560364284
698,"(Intercept)",-4.14520952868302
699,"(Intercept)",-4.35488201497964
700,"(Intercept)",-4.36958184125436
701,"(Intercept)",-4.3058565835097
702,"(Intercept)",-4.18552926053425
703,"(Intercept)",-4.29565068517402
704,"(Intercept)",-4.37073613795953
705,"(Intercept)",-4.28749313804444
706,"(Intercept)",-4.15002782881063
707,"(Intercept)",-4.27404495328129
708,"(Intercept)",-4.35489917479221
709,"(Intercept)",-4.36083352633954
710,"(Intercept)",-4.62878581023924
711,"(Intercept)",-4.45848388279719
712,"(Intercept)",-4.60505365518476
713,"(Intercept)",-4.43402401319517
714,"(Intercept)",-4.43554151909623
715,"(Intercept)",-4.30704302781564
716,"(Intercept)",-4.3525318156196
717,"(Intercept)",-4.37645706424992
718,"(Intercept)",-4.25037366409032
719,"(Intercept)",-4.35799235077936
720,"(Intercept)",-4.04316376284064
721,"(Intercept)",-4.32638156646364
722,"(Intercept)",-4.27846328704899
723,"(Intercept)",-4.25161789041669
724,"(Intercept)",-4.30964317105626
725,"(Intercept)",-4.13406033251596
726,"(Intercept)",-4.1586867480911
727,"(Intercept)",-4.13566555653749
728,"(Intercept)",-4.29432718826567
729,"(Intercept)",-4.39442008450825
730,"(Intercept)",-4.19806209022396
